PO Number;PO Line;Cycle;Year;Zone;Region;Area;Wcode;Sales Point;Item Name;Catergory;Item Code;Brand;Brand SKU;Brand Name PO;Length;Width;Quantity;Order Date;Production Start Date;Production Finish Date;Shipment Date;Est. Received Date;Received Date Based on CPT;DN Number;Entity;;Track;QTY Received ;QTY Received  Final;Received Date;Remark;QTY Out;Qty Produce;Qty in Transit;Qty Delivered;Received Date
5701713729;1;C1;2026;Jakarta;Jakarta Outer;Serang;WH068;Serang;GT SRC - Shop Sign Pole (V) - 200x100 cm - Sticker Blockout - MLA16 35K;;2026-00195038-0012;A Mild all variant;;MLA16 35K;;;46;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;2;C1;2026;Jakarta;Jakarta Outer;Bekasi;WH075;Bekasi;GT SRC - Snap Frame (V) - 80x40 cm - Photopaper - MLA16 35K;;2026-00195038-0015;A Mild all variant;;MLA16 35K;;;21;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;2;C1;2026;Jakarta;Jakarta Outer;Bogor;WH060;Bogor;GT SRC - Snap Frame (V) - 80x40 cm - Photopaper - MLA16 35K;;2026-00195038-0015;A Mild all variant;;MLA16 35K;;;51;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;2;C1;2026;Jakarta;Jakarta Outer;Karawang;WH066;Karawang;GT SRC - Snap Frame (V) - 80x40 cm - Photopaper - MLA16 35K;;2026-00195038-0015;A Mild all variant;;MLA16 35K;;;24;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;2;C1;2026;Jakarta;Jakarta Outer;Serang;WH068;Serang;GT SRC - Snap Frame (V) - 80x40 cm - Photopaper - MLA16 35K;;2026-00195038-0015;A Mild all variant;;MLA16 35K;;;18;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;2;C1;2026;Jakarta;Jakarta Outer;Tangerang;WH057;Tangerang;GT SRC - Snap Frame (V) - 80x40 cm - Photopaper - MLA16 35K;;2026-00195038-0015;A Mild all variant;;MLA16 35K;;;27;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;3;C1;2026;Jakarta;Jakarta Outer;Bekasi;WH075;Bekasi;GT SRC - Snap Frame (H) - 40x80 cm - Photopaper - MLA16 35K;;2026-00195038-0016;A Mild all variant;;MLA16 35K;;;9;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;4;C1;2026;Jakarta;Jakarta Outer;Karawang;WH066;Karawang;GT SRC - Backwall Topline (H) - 40x120 cm - Duratrans - MLA16 35K;;2026-00195038-0017;A Mild all variant;;MLA16 35K;;;3;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;4;C1;2026;Jakarta;Jakarta Outer;Serang;WH068;Serang;GT SRC - Backwall Topline (H) - 40x120 cm - Duratrans - MLA16 35K;;2026-00195038-0017;A Mild all variant;;MLA16 35K;;;1;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;5;C1;2026;Jakarta;Jakarta Outer;Karawang;WH066;Karawang;GT SRC - New Backwall SRC 2017 (H) - 99.5x56.5 cm - Duratrans - MLA16 35K;;2026-00195038-0018;A Mild all variant;;MLA16 35K;;;23;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;5;C1;2026;Jakarta;Jakarta Outer;Rangkasbitung;WH077;Rangkasbitung;GT SRC - New Backwall SRC 2017 (H) - 99.5x56.5 cm - Duratrans - MLA16 35K;;2026-00195038-0018;A Mild all variant;;MLA16 35K;;;18;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;5;C1;2026;Jakarta;Jakarta Outer;Serang;WH068;Serang;GT SRC - New Backwall SRC 2017 (H) - 99.5x56.5 cm - Duratrans - MLA16 35K;;2026-00195038-0018;A Mild all variant;;MLA16 35K;;;32;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;6;C1;2026;Jakarta;Jakarta Outer;Karawang;WH066;Karawang;GT SRC - New Cigarette Cabinet SRC 2017 (H) - 99.5x56.5 cm - Duratrans - MLA16 35K;;2026-00195038-0019;A Mild all variant;;MLA16 35K;;;15;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;6;C1;2026;Jakarta;Jakarta Outer;Rangkasbitung;WH077;Rangkasbitung;GT SRC - New Cigarette Cabinet SRC 2017 (H) - 99.5x56.5 cm - Duratrans - MLA16 35K;;2026-00195038-0019;A Mild all variant;;MLA16 35K;;;6;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;6;C1;2026;Jakarta;Jakarta Outer;Serang;WH068;Serang;GT SRC - New Cigarette Cabinet SRC 2017 (H) - 99.5x56.5 cm - Duratrans - MLA16 35K;;2026-00195038-0019;A Mild all variant;;MLA16 35K;;;12;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;7;C1;2026;Jakarta;Jakarta Outer;Karawang;WH066;Karawang;GT SRC - Cigarette Cabinet Gen 1 (H) - 25.5x72.5 cm - Photopaper - MLA16 35K;;2026-00195038-0021;A Mild all variant;;MLA16 35K;;;8;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;7;C1;2026;Jakarta;Jakarta Outer;Rangkasbitung;WH077;Rangkasbitung;GT SRC - Cigarette Cabinet Gen 1 (H) - 25.5x72.5 cm - Photopaper - MLA16 35K;;2026-00195038-0021;A Mild all variant;;MLA16 35K;;;6;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;7;C1;2026;Jakarta;Jakarta Outer;Serang;WH068;Serang;GT SRC - Cigarette Cabinet Gen 1 (H) - 25.5x72.5 cm - Photopaper - MLA16 35K;;2026-00195038-0021;A Mild all variant;;MLA16 35K;;;11;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
